conflict_id,full_conflict_size,context_before_size,conflict_size,context_after_size,resolution_size,parent1_size,parent2_size,base_size
1515c2,19,3,13,3,14,5,5,-1
1519a1,11,3,5,3,8,1,1,-1
1526a2,65,3,59,3,18,28,28,-1
1526a3,33,3,27,3,14,12,12,-1
1527a1,24,3,18,3,42,7,8,-1
1527b1,198,3,192,3,34,189,0,-1
1527b2,10,3,4,3,34,1,0,-1
1527c2,27,3,21,3,33,9,9,-1
1527c3,157,3,151,3,33,0,148,-1
1527c4,78,3,72,3,59,28,41,-1
1527c5,11,3,5,3,3,1,1,-1
1527c6,19,3,13,3,7,5,5,-1
1530a1,36,3,30,3,23,27,0,-1
1534a1,12,3,6,3,37,0,3,-1
1538a1,11,3,5,3,35,1,1,-1
1539a1,31,3,25,3,51,17,5,-1
1539a2,25,3,19,3,43,9,7,-1
1540a1,13,3,7,3,33,3,1,-1
1540a2,14,3,8,3,38,4,1,-1
1554a1,231,3,225,3,34,2,220,-1
1555a1,234,3,228,3,24,0,225,-1
1555a2,54,3,48,3,24,15,30,-1
1555b1,21,3,15,3,34,3,9,-1
1555b2,18,3,12,3,16,5,4,-1
1558a1,12,3,6,3,36,1,2,-1
1568a1,18,3,12,3,33,0,9,-1
1570a1,26,3,20,3,34,2,15,-1
1571a1,11,3,5,3,35,1,1,-1
1574b2,17,3,11,3,22,4,4,-1
1574b3,11,3,5,3,35,1,1,-1
1574c1,21,3,15,3,30,11,1,-1
1574c2,10,3,4,3,23,1,0,-1
1574c3,16,3,10,3,38,4,3,-1
1575a1,11,3,5,3,20,0,2,-1
1575a2,27,3,21,3,30,1,17,-1
1577a1,18,3,12,3,18,1,8,-1
1577a2,13,3,7,3,19,1,3,-1
1577a4,13,3,7,3,22,1,3,-1
198a1,53,3,47,3,27,1,43,-1
19a1,15,3,9,3,39,1,5,-1
2725a1,13,3,7,3,30,1,3,-1
2725a2,13,3,7,3,30,1,3,-1
274a1,200,3,194,3,195,177,14,-1
274a4,306,3,301,2,754,11,287,-1
285a1,10,3,4,3,35,1,0,-1
286a1,60,3,54,3,31,6,45,-1
286a2,11,3,5,3,19,2,0,-1
286a3,32,3,26,3,35,13,10,-1
286a5,50,3,44,3,74,36,5,-1
286a6,10,3,4,3,22,0,1,-1
286a7,14,3,8,3,24,3,2,-1
286a8,12,3,6,3,21,1,2,-1
286a9,15,3,9,3,114,3,3,-1
286b1,164,3,160,1,17,76,81,-1
287a1,52,3,47,2,17,29,15,-1
289a1,11,3,5,3,36,1,1,-1
289a2,11,3,5,3,36,1,1,-1
289b1,11,3,5,3,24,1,1,-1
289c1,11,3,5,3,26,1,1,-1
289d1,11,3,5,3,23,1,1,-1
289e1,11,3,5,3,21,1,1,-1
294a10,148,3,143,2,3188,139,1,-1
294a3,13,3,7,3,847,2,2,-1
294a5,243,3,237,3,53,19,215,-1
294a6,38,3,32,3,4,0,29,-1
294a9,80,3,74,3,53,48,23,-1
296a1,11,3,5,3,24,1,1,-1
296a2,32,3,26,3,34,11,12,-1
296a3,32,3,26,3,34,11,12,-1
296b1,12,3,6,3,26,2,1,-1
296b2,12,3,6,3,36,1,2,-1
303a1,16,3,10,3,35,1,6,-1
318a1,13,3,7,3,26,3,1,-1
318b1,10,3,4,3,34,1,0,-1
318c1,29,3,23,3,47,13,7,-1
318e1,11,3,5,3,20,1,1,-1
33a1,18,3,12,3,39,4,5,-1
33b1,14,3,8,3,36,2,3,-1
33b2,15,3,9,3,37,3,3,-1
33b3,20,3,14,3,39,5,6,-1
33b4,13,3,7,3,36,2,2,-1
33c1,12,3,6,3,37,1,2,-1
354a1,137,3,131,3,204,95,33,-1
354b1,13,3,7,3,24,1,3,-1
354b2,67,3,61,3,31,26,32,-1
354c1,13,3,7,3,24,1,3,-1
354c10,11,3,5,3,7,1,1,-1
354c11,11,3,5,3,7,1,1,-1
354c12,11,3,5,3,7,1,1,-1
354c13,11,3,5,3,7,1,1,-1
354c15,15,3,9,3,37,3,3,-1
354c16,11,3,5,3,35,1,1,-1
354c17,11,3,5,3,35,1,1,-1
354c18,11,3,5,3,35,1,1,-1
354c19,11,3,5,3,35,1,1,-1
354c2,70,3,64,3,27,27,34,-1
354c20,19,3,13,3,39,5,5,-1
354c21,19,3,13,3,24,5,5,-1
354c22,31,3,25,3,30,11,11,-1
354c23,39,3,33,3,21,15,15,-1
354c24,11,3,5,3,3,1,1,-1
354c25,11,3,5,3,31,1,1,-1
354c26,15,3,9,3,37,3,3,-1
354c28,31,3,25,3,187,11,11,-1
354c29,19,3,13,3,39,5,5,-1
354c3,21,3,15,3,34,1,11,-1
354c30,11,3,5,3,19,1,1,-1
354c31,23,3,17,3,10,7,7,-1
354c32,11,3,5,3,5,1,1,-1
354c33,11,3,5,3,5,1,1,-1
354c35,11,3,5,3,4,1,1,-1
354c36,11,3,5,3,4,1,1,-1
354c37,11,3,5,3,4,1,1,-1
354c38,11,3,5,3,7,1,1,-1
354c39,11,3,5,3,8,1,1,-1
354c4,11,3,5,3,20,1,1,-1
354c40,21,3,15,3,12,6,6,-1
354c41,21,3,15,3,11,6,6,-1
354c42,11,3,5,3,20,1,1,-1
354c43,15,3,9,3,24,3,3,-1
354c44,11,3,5,3,9,1,1,-1
354c45,11,3,5,3,22,1,1,-1
354c46,15,3,9,3,22,3,3,-1
354c47,31,3,25,3,30,11,11,-1
354c49,31,3,25,3,89,11,11,-1
354c5,11,3,5,3,6,1,1,-1
354c51,31,3,25,3,148,11,11,-1
354c53,31,3,25,3,207,11,11,-1
354c56,134,3,128,3,88,59,66,-1
354c6,11,3,5,3,7,1,1,-1
354c7,11,3,5,3,7,1,1,-1
354c8,11,3,5,3,7,1,1,-1
354c9,11,3,5,3,7,1,1,-1
409a1,11,3,5,3,35,1,1,-1
416a1,48,3,42,3,34,38,1,-1
416a2,20,3,14,3,34,11,0,-1
4630a1,16,3,10,3,39,5,2,-1
477a1,16,3,10,3,9,4,3,-1
477a2,15,3,9,3,9,2,4,-1
477a3,11,3,5,3,4,1,1,-1
4791a1,10,3,4,3,35,1,0,-1
4793a1,13,3,7,3,30,1,3,-1
4793a2,13,3,7,3,30,1,3,-1
4794c1,13,3,7,3,35,1,3,-1
4799a1,11,3,5,3,28,1,1,-1
4799a2,11,3,5,3,21,1,1,-1
4799a3,11,3,5,3,22,1,1,-1
4799a4,11,3,5,3,29,1,1,-1
4799a5,11,3,5,3,35,1,1,-1
4799a6,11,3,5,3,35,1,1,-1
4799a7,11,3,5,3,35,1,1,-1
4799a8,11,3,5,3,35,1,1,-1
482a1,11,3,5,3,34,2,0,-1
