conflict_id,context_before_size,conflict_size,context_after_size,resolution_size
1a1,0,7,3,2
21a1,3,79,3,0
2a1,3,10,3,0
64a1,3,8,3,1
64a2,3,8,3,0
64a3,3,8,3,0
64a4,3,36,3,0
64a5,3,31,3,4
