idx,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
489822,ReactiveX/RxJava,Java,0.987805,7.0,1.0,0.286461,105.583336,20.0,1.0,56771.0,0.608368,11241.0,1.0,1.0,1.0,1.0
508067,iluwatar/java-design-patterns,Java,0.984127,3.0,1.0,0.201877,50.142857,5.428571,1.0,5215.0,0.028236,10091.0,1.0,1.0,1.0,1.0
66,jfeinstein10/SlidingMenu,Java,0.942857,4.0,0.0,0.211891,14.461538,27.115385,1.0,4170.0,0.0,8939.0,1.0,1.0,1.0,1.0
9297,facebook/fresco,Java,0.979821,3.0,0.0,0.290315,0.0,0.0,1.0,39487.0,0.267635,8072.0,1.0,0.0,1.0,0.0
310459,google/guava,Java,0.970081,6.0,1.0,0.259838,42.594204,2.811594,1.0,271747.0,0.443037,7547.0,1.0,1.0,1.0,1.0
115493,JakeWharton/ViewPagerIndicator,Java,0.954545,1.0,0.0,0.14677,8.416667,1.333333,1.0,4362.0,0.0,6896.0,0.0,1.0,1.0,1.0
431843,navasmdc/MaterialDesignLibrary,Java,0.888889,3.0,0.0,0.146564,20.666668,71.666664,1.0,4686.0,0.0,6087.0,1.0,1.0,1.0,1.0
489762,ReactiveX/RxAndroid,Java,0.957746,10.0,1.0,0.209464,11.028571,4.285714,1.0,4882.0,0.470009,5259.0,1.0,1.0,1.0,1.0
297725,ksoichiro/Android-ObservableScrollView,Java,0.978102,1.0,1.0,0.221608,51.75,24.25,1.0,13260.0,0.216095,5154.0,1.0,1.0,1.0,1.0
436697,google/physical-web,Java,0.875,5.0,1.0,0.167616,124.599998,63.0,1.0,6745.0,0.0,5047.0,1.0,1.0,1.0,1.0
55020,googlesamples/android-UniversalMusicPlayer,Java,0.941176,2.0,0.0,0.245179,33.0,4.666667,1.0,5174.0,0.0,4708.0,1.0,1.0,1.0,1.0
475960,daimajia/AndroidSwipeLayout,Java,0.925926,3.0,0.0,0.071543,23.333332,19.333332,1.0,3698.0,0.0,4666.0,1.0,1.0,1.0,1.0
614246,daimajia/AndroidViewAnimations,Java,0.986111,1.0,1.0,0.459087,15.833333,8.0,1.0,2006.0,0.0,4491.0,1.0,1.0,1.0,1.0
441705,Realm/realm-java,Java,0.905473,7.0,0.0,0.233328,102.285713,16.428572,1.0,29170.0,0.126258,3707.0,1.0,1.0,1.0,1.0
192713,rey5137/Material,Java,0.942857,1.0,0.0,0.104242,27.333332,4.0,1.0,22390.0,0.0,3151.0,0.0,1.0,1.0,1.0
548503,makovkastar/FloatingActionButton,Java,0.923077,1.0,0.0,0.032538,37.0,18.5,1.0,1598.0,0.0,3106.0,0.0,1.0,1.0,1.0
582608,google/guice,Java,0.926523,8.0,1.0,0.144803,14.553398,1.15534,1.0,115110.0,0.569904,2914.0,1.0,1.0,1.0,1.0
363528,traex/RippleEffect,Java,0.625,2.0,0.0,0.212611,16.799999,8.6,1.0,1131.0,0.0,2904.0,1.0,1.0,1.0,1.0
589761,pedrovgs/EffectiveAndroidUI,Java,0.964286,1.0,1.0,0.361821,15.111111,1.111111,1.0,3003.0,0.0,2896.0,1.0,1.0,1.0,1.0
473739,apache/storm,Java,0.992337,12.0,0.0,0.169185,71.428574,7.261905,1.0,136606.0,0.030639,2868.0,1.0,1.0,1.0,1.0
148084,wasabeef/recyclerview-animators,Java,0.891892,2.0,1.0,0.212932,34.666668,5.0,1.0,2284.0,0.0,2818.0,1.0,1.0,1.0,1.0
149458,wasabeef/RecyclerViewAnimators,Java,0.892857,2.0,1.0,0.195064,0.0,0.0,1.0,1907.0,0.0,2818.0,0.0,0.0,1.0,1.0
311185,rengwuxian/MaterialEditText,Java,0.714286,2.0,0.0,0.183219,40.599998,31.0,1.0,4141.0,0.0,2648.0,1.0,1.0,1.0,1.0
