idx,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
1845914,apache/pig,Java,0.995745,7,0,0.185227,37.036366,0.309091,1,368774,0.390792,407,1,1,1,1
1248425,flavienlaurent/poppyview,Java,1.0,2,0,0.024017,1.133333,0.533333,1,491,0.0,406,0,0,1,1
1849298,eclipse/egit-github,Java,0.978979,2,0,0.396426,4.236842,0.394737,1,26403,0.32033,406,1,1,1,1
1645878,angryziber/ipscan,Java,1.0,2,0,0.232464,4.556962,0.341772,1,16762,0.25502,406,1,1,1,1
532469,drakeet/Seashell-app,Java,0.933333,1,0,0.098558,15.666667,2.166667,1,3490,0.0,406,0,1,1,1
1081528,yahoo/samoa,Java,0.990712,5,1,0.350659,27.0,9.285714,1,27852,0.064897,405,1,1,1,1
1846118,johnnylambada/WorldMap,Java,0.714286,3,0,0.228768,4.0,0.28,1,1008,0.0,405,1,0,1,1
268213,Musenkishi/wally,Java,0.975904,1,0,0.211972,6.333333,1.0,1,12348,0.0,405,0,1,1,1
570992,christophesmet/android_maskable_layout,Java,0.5,1,0,0.05604,0.0,0.0,1,846,0.0,404,0,0,1,0
1157143,MarkMjw/PullToRefresh,Java,0.875,2,0,0.167027,1.470588,0.352941,1,1701,0.0,404,0,0,1,1
921726,anupcowkur/Reservoir,Java,0.909091,1,0,0.134846,4.3,1.4,1,923,0.0,404,0,0,1,1
1726310,nzakas/cssembed,Java,1.0,2,0,0.390942,2.615385,1.692308,0,1829,0.130435,403,1,1,1,1
683095,caoxinyu/RedisClient,Java,0.957672,1,0,0.028437,26.0,1.5,1,13679,0.024666,402,1,1,1,1
553538,pavlospt/CircleView,Java,0.75,1,1,0.166924,42.0,8.0,1,720,0.0,402,1,1,1,1
352122,StanKocken/EfficientAdapter,Java,0.785714,1,0,0.196732,13.0,5.0,1,1466,0.0,401,0,1,1,1
1743837,belaban/JGroups,Java,0.988906,2,0,0.125581,130.731888,1.521739,1,123001,0.275127,401,1,1,1,1
600104,antoniolg/RecyclerViewExtensions,Java,0.7,2,0,0.234012,2.5,2.5,1,1683,0.0,401,1,1,1,1
1744130,korovyansk/android-fb-like-slideout-navigation,Java,0.666667,1,0,0.010025,0.478261,0.652174,1,399,0.0,400,0,0,1,1
1748086,ChainsDD/Superuser,Java,1.0,1,0,0.242147,7.269231,1.346154,1,34396,0.0,398,0,1,1,1
